Unnamed: 0,CustomerID,Age,DurationOfPitch,NumberOfPersonVisiting,NumberOfFollowups,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,MonthlyIncome,TypeofContact_Self Enquiry,Occupation_Large Business,Occupation_Salaried,Occupation_Small Business,Gender_Male,MaritalStatus_Married,MaritalStatus_Single,MaritalStatus_Unmarried,Designation_Executive,Designation_Manager,Designation_Senior Manager,Designation_VP,ProductPitched_Deluxe,ProductPitched_King,ProductPitched_Standard,ProductPitched_Super Deluxe,CityTier_2,CityTier_3,PreferredPropertyStar_4.0,PreferredPropertyStar_5.0
3850,203850,1.9457396758807184,0.1685354446402305,1.4617845622497474,0.25676752339068526,2.53475644246642,1,-1.5120736745473389,0,1.0,-0.010330274615067823,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True
2463,202463,0.19409643476043628,-0.7841715946954375,0.07044338794332428,0.25676752339068526,1.9959852878141686,1,0.6891159793370204,0,2.0,-0.12581423291426788,True,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
878,200878,0.5225295424704892,-0.903259974612396,0.07044338794332428,-2.7233721295336335,-1.2366416400993427,0,-0.778343789919219,0,2.0,-0.44013549038184874,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True
2482,202482,-0.024858970379599003,-0.42690645494456203,0.07044338794332428,1.2501474076987915,-0.6978704854470907,1,-0.778343789919219,1,1.0,2.5961799170876527,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
3074,203074,-1.5575468063598459,-1.0223483545293546,0.07044338794332428,1.2501474076987915,2.53475644246642,0,-0.778343789919219,1,1.0,0.06766796334910964,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
3002,203002,-0.46276978065966956,1.8357727634776495,1.4617845622497474,0.25676752339068526,-0.15909933079483887,0,0.6891159793370204,1,1.0,0.19199948296961938,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
1261,201261,0.08461873219041863,1.00215410405894,-1.3208977863630988,1.2501474076987915,0.379671823857413,1,1.4228458639651402,0,1.0,-0.5474703790430004,True,False,False,True,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
3187,203187,2.383650486160789,-0.7841715946954375,1.4617845622497474,1.2501474076987915,0.9184429785096649,1,1.4228458639651402,0,3.0,2.151734315639714,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
2230,202230,1.726784270740683,-0.903259974612396,-1.3208977863630988,0.25676752339068526,-0.15909933079483887,0,-1.5120736745473389,1,0.0,-0.14839879733971628,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,True,False
3643,203643,-0.024858970379599003,2.0739495233115663,1.4617845622497474,0.25676752339068526,2.53475644246642,0,-0.04461390529109929,1,1.0,0.20084704429092906,True,False,True,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
1897,201897,2.383650486160789,2.1930379032285248,0.07044338794332428,0.25676752339068526,0.9184429785096649,0,-1.5120736745473389,1,0.0,0.4897897706000163,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True
4738,204738,0.6320072450405068,2.4312146630624416,0.07044338794332428,2.243527292006898,1.4572141331619168,0,-0.04461390529109929,1,2.0,-0.04944580887770011,True,False,False,True,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False
1480,201480,-0.24381437551963428,0.763977344225023,-1.3208977863630988,-2.7233721295336335,-1.2366416400993427,0,0.6891159793370204,1,1.0,-1.3356018283228235,True,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
4557,204557,0.6320072450405068,-0.665083214778479,1.4617845622497474,-1.7299922452255274,0.379671823857413,1,1.4228458639651402,1,1.0,0.17383869920482584,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
994,200994,1.6173065681706655,2.1930379032285248,-1.3208977863630988,-2.7233721295336335,-0.15909933079483887,1,0.6891159793370204,0,0.0,1.1838576732006523,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
3104,203104,2.383650486160789,-0.7841715946954375,0.07044338794332428,1.2501474076987915,-0.6978704854470907,1,-0.778343789919219,0,1.0,-0.4899612304544875,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
9,200009,-0.13433667294961663,2.0739495233115663,0.07044338794332428,-0.736612360917421,1.9959852878141686,0,-0.04461390529109929,1,0.0,-0.681115121106994,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
3825,203825,-0.9006805909397401,0.8830657241419815,0.07044338794332428,0.25676752339068526,-0.15909933079483887,0,-0.04461390529109929,0,1.0,-0.5449092428710424,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
4425,204425,-0.024858970379599003,0.04944706472327198,0.07044338794332428,1.2501474076987915,0.379671823857413,1,0.6891159793370204,0,2.0,1.0157540080957683,True,False,False,True,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False
198,200198,0.08461873219041863,-0.903259974612396,-1.3208977863630988,-0.736612360917421,-1.2366416400993427,0,-0.778343789919219,0,1.0,-0.3747101027163745,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
1012,201012,-0.6817251857997048,-1.141436734446313,-1.3208977863630988,1.2501474076987915,-0.6978704854470907,0,-0.04461390529109929,1,1.0,-1.5104575796992332,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False
3069,203069,0.9604403527505597,0.04944706472327198,1.4617845622497474,0.25676752339068526,1.4572141331619168,1,-0.778343789919219,1,1.0,1.4613917020164717,True,False,False,True,True,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True
4873,204873,0.41305183990047156,-0.18872969511064502,0.07044338794332428,0.25676752339068526,-0.15909933079483887,0,1.4228458639651402,0,1.0,0.041125279385180596,True,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False
2443,202443,-0.24381437551963428,-0.3078180750276035,0.07044338794332428,-0.736612360917421,-0.6978704854470907,1,-0.04461390529109929,1,1.0,-0.6517784704100198,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
2016,202016,-0.9006805909397401,0.04944706472327198,0.07044338794332428,-0.736612360917421,-0.6978704854470907,0,0.6891159793370204,1,0.0,-1.2853104271280105,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False
1561,201561,1.507828865600648,1.3594192438098154,0.07044338794332428,-0.736612360917421,-1.2366416400993427,1,1.4228458639651402,0,2.0,-0.6336176866452262,True,False,False,True,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False
304,200304,0.19409643476043628,-1.141436734446313,-1.3208977863630988,-1.7299922452255274,-1.2366416400993427,0,-0.04461390529109929,1,0.0,0.33775141421014204,True,False,False,True,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
628,200628,-0.024858970379599003,0.763977344225023,0.07044338794332428,0.25676752339068526,0.9184429785096649,0,1.4228458639651402,1,2.0,-0.4256999955944487,True,False,False,True,True,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False
710,200710,-0.46276978065966956,0.8830657241419815,-1.3208977863630988,-0.736612360917421,-0.6978704854470907,0,-0.04461390529109929,1,1.0,2.161047538083198,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False
4045,204045,1.507828865600648,0.40671220447414747,1.4617845622497474,0.25676752339068526,1.4572141331619168,0,1.4228458639651402,1,3.0,1.0998058406482103,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False
3738,203738,0.5225295424704892,-0.42690645494456203,0.07044338794332428,-1.7299922452255274,0.9184429785096649,0,1.4228458639651402,1,1.0,0.5554479888265776,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False
2763,202763,-0.46276978065966956,-0.06964131519368652,1.4617845622497474,1.2501474076987915,-0.15909933079483887,1,-0.778343789919219,1,1.0,0.17314020752156453,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False
3267,203267,-0.7912028883697224,0.1685354446402305,1.4617845622497474,0.25676752339068526,-0.6978704854470907,0,1.4228458639651402,1,1.0,-0.2778525893041422,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2779,202779,0.41305183990047156,-1.0223483545293546,0.07044338794332428,2.243527292006898,0.379671823857413,1,-0.04461390529109929,1,1.0,0.6921195281847036,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False
3466,203466,0.08461873219041863,-0.42690645494456203,0.07044338794332428,-1.7299922452255274,-0.6978704854470907,0,1.4228458639651402,1,1.0,-0.22919100203693893,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False
3418,203418,-1.0101582935097577,-0.7841715946954375,0.07044338794332428,2.243527292006898,0.9184429785096649,0,0.6891159793370204,1,2.0,0.13658580943089033,False,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False
3668,203668,-1.1196359960797753,1.00215410405894,1.4617845622497474,2.243527292006898,-0.15909933079483887,0,-0.04461390529109929,0,3.0,-0.5074235225360197,True,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1788,201788,-1.1196359960797753,-0.5459948348615206,-1.3208977863630988,-0.736612360917421,-0.6978704854470907,1,-0.04461390529109929,0,1.0,-1.3234946391462945,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
4430,204430,-1.4480691037898283,-0.5459948348615206,0.07044338794332428,-1.7299922452255274,0.379671823857413,0,0.6891159793370204,0,2.0,-0.3877486141372519,True,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2076,202076,-0.3532920780896519,0.763977344225023,0.07044338794332428,0.25676752339068526,-0.6978704854470907,0,1.4228458639651402,1,2.0,-1.3060323470647621,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False
4856,204856,-0.024858970379599003,0.1685354446402305,0.07044338794332428,1.2501474076987915,-0.6978704854470907,0,1.4228458639651402,0,1.0,0.6076020345100874,True,False,False,True,True,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True
2317,202317,-0.3532920780896519,-1.0223483545293546,0.07044338794332428,0.25676752339068526,-1.2366416400993427,0,-1.5120736745473389,0,0.0,-0.6564350816317618,False,False,False,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True
216,200216,-0.7912028883697224,1.9548611433946077,-1.3208977863630988,0.25676752339068526,1.4572141331619168,0,-0.778343789919219,0,1.0,-0.34141533248091965,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,True
1640,201640,-1.1196359960797753,0.8830657241419815,-1.3208977863630988,-0.736612360917421,-1.2366416400993427,1,0.6891159793370204,0,0.0,-1.1884529137157782,True,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
3290,203290,-0.13433667294961663,-0.7841715946954375,0.07044338794332428,1.2501474076987915,0.379671823857413,0,0.6891159793370204,1,1.0,1.3480032187670556,True,False,True,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False
1713,201713,0.3035741373304539,1.716684383560691,0.07044338794332428,-0.736612360917421,-0.6978704854470907,0,-0.04461390529109929,1,1.0,-1.1276841372720459,True,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
2908,202908,0.08461873219041863,-1.0223483545293546,0.07044338794332428,0.25676752339068526,1.4572141331619168,0,1.4228458639651402,1,2.0,0.7000357672616648,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False
3770,203770,-0.46276978065966956,-0.7841715946954375,0.07044338794332428,1.2501474076987915,-0.6978704854470907,1,-1.5120736745473389,1,1.0,1.262554402848091,True,False,False,True,True,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False
